⚔ KONFÖDERATION UNABHÄNGIGER SYSTEME,,,,,,,,,
Die Galaxis im Krieg - 20 BBY  |  Flottenübersicht,,,,,,,,,
,,,,,,,,,
▸ BATTLECRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Subjugator-class Heavy Cruiser (Ion),"Schlachtkreuzer, Free Dac VEC / Pammant Docks, 4.845m, 8.500 Crew, 60.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 14.000 SBD, 12.000 RU, 40 MGLT","2 Ultra-Large Ion Cannons, 500 Medium Turbolaser Batteries","30 Medium Flak/Mass Driver Cannons, 40 Medium Ion Cannons, 60 Dual Point-Defense Cannon Turrets, 10 Proton Torpedo Launcher (12 Torpedos pro Launcher)","max. 240 Sternenjäger, 5 C-9979 Landungsboote, 40 Transport, 15 schwere Fahrzeuge (8 MTT, 4 NR-N99 Persuader, 3 Octuptarra Magna Tri-Droid), 35 Medium Fahrzeuge (18 AAT, 10 IG-227 Hailfire, 7 OG-9 Homing Spider Droid), 50 Light/Support Fahrzeuge (20 STAP, 15 DSD1 Dwarf Spider Droid, 10 LM-432 Crab Droid, 5 PK Worker Droid)","1, Malevolence II",1400,Front/Breitseite,1400,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Das Flaggschiff des Terrors - die 2 Ultra-Large Ion Cannons können ganze Flotten mit einem Schuss lahmlegen. Gegen Schiffe wie dem Mandator II- I und Praetor MK I sind diese Ionenimpulse jedoch wirkungslos. Diese Waffen, auch wenn sie militärisch fragwürdig sind, sind der einzige Grund, warum das Schiff existiert. Die Ionenversion mit Schmongs Antriebskonzept neigt jedoch dazu, Energie zu verlieren, die dann in andere Systeme überschwappen und gelegentlich Schilde, Kommunikation oder andere Systeme lahmlegen kann."
Subjugator-class Heavy Cruiser,"Schlachtkreuzer, Free Dac VEC / Pammant Docks, 4.845m, 8.500 Crew, 180.000 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 20.000 SBD, 13.000 RU, 40 MGLT",500 Medium Turbolaser Batteries,"80 Medium Flak/Mass Driver Cannons, 120 Medium Ion Cannons, 400 Dual Point-Defense Cannon Turrets, 40 Proton Torpedo Launcher (12 Torpedos pro Launcher)","max. 544 Sternenjäger, 10 C-9979 Landungsboote, 80 Transport, 80 schwere Fahrzeuge (40 MTT, 24 NR-N99 Persuader, 16 Octuptarra Magna Tri-Droid), 120 Medium Fahrzeuge (60 AAT, 36 IG-227 Hailfire, 24 OG-9 Homing Spider Droid), 200 Light/Support Fahrzeuge (80 STAP, 60 DSD1 Dwarf Spider Droid, 40 LM-432 Crab Droid, 20 PK Worker Droid)",2,1700,Front/Breitseite,1700,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Standard-Subjugator ohne Ultra-Large Ion Cannons - dafür deutlich mehr konventionelle Feuerkraft (500 Medium TL + 120 Medium Ions). Massiv, aber ohne Heavy Weapons trotz 4.845m Länge. Trägt 180.000 deaktivierte Kampfdroiden und maximal 544 Sternenjäger - eine schwimmende Invasionsarmee."
Lucrehulk-class Battleship,"Schlachtschiff, Hoersch-Kessel Drive Inc., 3.170m, 350 Crew, 15.000 Passagiere + 330.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 10 Backup, 10.000 SBD, 4.900 RU, 35 MGLT","48 Quad Medium Turbolaser Turrets, 3 Medium Turbolaser, 48 Assault Laser Cannons","472 Laser Cannons, 185 Quad Point-Defense Cannon Turrets","max. 1.500 Sternenjäger, 50 C-9979 Landungsboote, 100 Transport, 550 MTTs, 1.500 Truppentransporter, 6.250 AATs","1200, (...)",1000,Ober/Unterseite,1000,"Das ikonische Handelsförderations-Schlachtschiff — massiv groß, aber mit minimaler organischer Crew (nur 350). Trotz 3.170m Länge sind die Waffen alle Medium-Klasse oder schwächer. Sein wahrer Wert liegt im Droiden-Arsenal: 330.000 deaktivierte B1s plus 6.250 AATs plus 550 MTTs — eine komplette planetare Invasionsarmee in einem Schiff."
▸ STAR DESTROYERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Recusant-class Dreadnought," Schwerer Zerstörer, Hoersch-Kessel Drive Inc. / Free Dac VEC, 2.200m, 650 Crew, 8.000 Passagiere + 120.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 4.200 SBD, 1.800 RU, 65 MGLTT","2 Heavy Prow Turbolasers, 2 Heavy Prow Ion Cannons, 8 Heavy Turbolaser Cannons, 12 Heavy Turbolaser Turrets, 4 Heavy Ion Cannon Turrets"," 12 Medium Turbolaser Turrets, 10 Medium Ion Cannon Batteries, 60 Dual Point-Defense Cannons, 24 Dual Light Point-Defense Cannons, 100 Light Point-Defense Cannons, 6 Medium Tractor Beam Projectors","max. 36 Sternenjäger, 12 Transport","7, (...)",500,Front/Unterseite,500,"Das Rückgrat der CIS-Flotte — ähnlich wie der Venator für die Republik. Der Heavy Prow Turbolaser und die Heavy Prow Ion Cannon machen den Recusant zum Frontalkämpfer, der gezielt auf sein Ziel zusteuert. Schnell (70 MGLT), minimal crew-intensiv (nur 300 organische Crew). Sein langes, dünnes Profil ist sein größtes Handicap — von der Seite ein leichtes Ziel."
Recusant-class Light Destroyer,"Leichter Zerstörer, Hoersch-Kessel Drive Inc. / Free Dac VEC, 1.187m, 300 Crew, 4.000 Passagiere + 40.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 2.200 SBD, 950 RU, 70 MGLT","1 Heavy Prow Turbolaser, 1 Heavy Prow Ion Cannon, 4 Heavy Turbolaser Cannons, 6 Heavy Turbolaser Turrets","5 Medium Turbolaser Turrets, 30 Dual Point-Defense Cannons, 12 Dual Light Point-Defense Cannons, 60 Light Point-Defense Cannons","max. 12 Sternenjäger, 12 Transport","2200, (...)",500,Front/Unterseite,500,"Das Rückgrat der CIS-Flotte — ähnlich wie der Venator für die Republik. Der Heavy Prow Turbolaser und die Heavy Prow Ion Cannon machen den Recusant zum Frontalkämpfer, der gezielt auf sein Ziel zusteuert. Schnell (70 MGLT), minimal crew-intensiv (nur 300 organische Crew). Sein langes, dünnes Profil ist sein größtes Handicap — von der Seite ein leichtes Ziel."
Bulwark Mark II-class Destroyer,"Zerstörer, TransGalMeg Industries / Techno Union, 1.150m, 6.700 Crew, 1.300 Passagiere + 10.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 4.000 SBD, 2.000 RU, 50 MGLT","20 Quad Heavy Turbolaser Turrets, 40 Medium Turbolaser Batteries","20 Medium Ion Cannon Batteries, 6 Medium Tractor Beam Projectors, 20 Proton Torpedo Launcher (8 Torpedos pro Launcher)","max. 36 Sternenjäger, 12 Transport, 5 schwere Fahrzeuge (2 MTT, 2 NR-N99 Persuader, 1 Octuptarra Magna Tri-Droid), 10 Medium Fahrzeuge (5 AAT, 3 IG-227 Hailfire, 2 OG-9 Homing Spider Droid), 20 Light/Support Fahrzeuge (8 STAP, 6 DSD1 Dwarf Spider Droid, 4 LM-432 Crab Droid, 2 PK Worker Droid)","80, (...)",900,Front/Oberseite,900,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Modernisierte Variante des klassischen Bulwark — 20 Quad Heavy Turbolaser Turrets (80 Heavy TL Läufe) auf 1.150m ist absurde Feuerkraft-Dichte. Schlägt härter zu als ein Recusant trotz nur geringfügig größerer Hülle. Prestige-Objekt der CIS, spät im Krieg eingeführt. Selten, aber tödlich in Linienschlachten."
Providence-class Dreadnought,"Träger, Rendili StarDrive / Free Dac VEC / Pammant Docks, 2.177m, 20.500 Crew, 60.000 Passagiere + 200.000 deaktivierte Kampfdroiden, Klasse 2 Hyperraumantrieb, Klasse 12 Backup, 4.700 SBD, 2,340 RU, 75 MGLT","6 Quad Heavy Turbolaser Turrets, 16 Quad Medium Turbolaser Turrets, 20 J-1 Multi-Purpose Broadside Cannons","20 Medium Flak Guns, 20 Point-Defense Ion Cannons, 60 Dual Point-Defense Cannons, 12 Medium Tractor Beam Projectors, 150 Proton Torpedo Launcher (10 Torpedos pro Launcher)","max. 312 Sternenjäger, 8 C-9979 Landungsboote, 60 Transport, 20 schwere Fahrzeuge (10 MTT, 6 NR-N99 Persuader, 4 Octuptarra Magna Tri-Droid), 30 Medium Fahrzeuge (15 AAT, 9 IG-227 Hailfire, 6 OG-9 Homing Spider Droid), 50 Light/Support Fahrzeuge (20 STAP, 15 DSD1 Dwarf Spider Droid, 10 LM-432 Crab Droid, 5 PK Worker Droid)","20, (...)",750,Breitseite,750,"Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Trägervariante des Providence-Designs — 480 Sternenjäger, dafür deutlich weniger Feuerkraft als die Destroyer-Version. 6 Quad Medium TL + 36 Flak ist genug für Selbstverteidigung, aber nicht für Linienkampf. Wird immer mit Escortschiffen eingesetzt, die den Feuerkampf übernehmen."
