⚔ GALAKTISCHE REPUBLIK,,,,,,,,,
Die Galaxis im Krieg - 20 BBY  |  Flottenübersicht,,,,,,,,,
,,,,,,,,,
▸ STAR DREADNOUGHTS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Mandator II-class Star Dreadnought," Dreadnought, Kuat Drive Yards, 8,000m, 130,350 Crew, 14,500 Passagiere, Klasse 2 Hyperraumantrieb, Klasse 8 Backup, 20,000 SBD, 15,000 RU, 25 MGLT","60 Quad Turbolaser Turrets, 150 Heavy Turbolaser Batteries, 150 Heavy Ion Cannon Batteries","200 Medium Turbolaser Batteries, 200 Medium Ion Cannon Batteries, 200 Point defense Cannon Batteries, 30 Concussion Missile Launchers ( Jeder Launcher 6 Missiles ) ","max. 144 Sternenjäger, 24 Transport, 50 schwere Fahrzeuge (25 AT-TE, 10 HAVw A6 Juggernaut, 10 AT-OT, 5 SPHA-T), 100 medium Fahrzeuge (45 TX-130 Saber-Tank, 30 AT-AP, 25 RX-200 Falchion), 200 Light/Support Fahrzeuge (80 AT-RT, 60 BARC Speeder, 30 UT-AT, 20 Infantry Support Platform, 10 Freeco Speeder)","Kuat, Azure, 2 Stück",4000,Front/Oberseite,4000,"Pro Aufschlagsrakete 3 Damage, Nachladezeit 40 sek. | Flaggschiff der Republik-Flotte. Der Mandator II ist ein Linienbrecher, dessen schiere Feuerkraft ganze Flottenverbände abschreckt. Nur zwei Exemplare existieren - jedes einzelne ein strategisches Asset auf höchster Ebene. Beide Schiffe wurden von einem Mandator I geupgradet. Nachladezeit"
Mandator I-class Star Dreadnought,"Dreadnought, Kuat Drive Yards, 8,000m, 120,350 Crew, 15,000 Passagiere, Klasse 4 Hyperraumantrieb, Klasse 15 Backup, 14,000 SBD, 13,000 RU, 30 MGLT","50 Quad Heavy Turbolaser Turrets, 80 Twin Heavy Turbolaser Turrets"," 60 Medium Turbolaser Batteries, 90 Medium Ion Cannon Batteries, 240 Point Defense Cannon Batteries, 30 Assault Concussion Missile Launchers ( Pro Launcher 6 )","max. 144 Sternenjäger, 12 Transport, 25 schwere Fahrzeuge (12 AT-TE, 5 HAVw A6 Juggernaut, 5 AT-OT, 3 SPHA-T), 50 Medium Fahrzeuge (22 TX-130 Saber-Tank, 15 AT-AP, 13 RX-200 Falchion), 75 Light/Support Fahrzeuge (30 AT-RT, 22 BARC Speeder, 11 UT-AT, 8 Infantry Support Platform, 4 Freeco Speeder)"," Kuat, Humbarine (...), 6 Stück",2500,Front/Oberseite,2500,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. | Vorgänger des Mandator II mit schwereren Einzelwaffen, aber geringerer Gesamtfeuerkraft. Die Quad Heavy Turbolaser kompensieren teilweise die fehlende Ion-Kapazität. Sechs Stück dienen als Sektorflagschiffe, 2 darunter bei Kuat. Nachladezeit"
,,,,,,,,,
,,,,,,,,,
▸ BATTLECRUISERS,,,,,,,,,
Schiffsklasse,Grunddaten,Hauptbewaffnung,Sekundärbewaffnung,Hangar,Stationierung & Einsatz,Schaden bei opt. Feuerwinkel,Optimaler Feuerwinkel,Damage pro Schadensbericht,Notizen
Praetor Mark I-class Battlecruiser,"Schlachtkreuzer, Kuat Drive Yards, 4,000m, 100,600 Crew, 12,800 Passagiere, Klasse 4 Hyperraumantrieb, Klasse 15 Backup, 13,000 SBD, 9,000 RU, 50 MGLT","20 Quad Heavy Turbolaser Turrets, 20 Twin Heavy Turbolaser Turrets","40 Medium Turbolaser Batteries, 40 Medium Ion Cannon Batteries, 80 Point Defense Cannon Batteries","max. 120 Sternenjäger, 72 Transport, 20 schwere Fahrzeuge (10 AT-TE, 4 HAVw A6 Juggernaut, 4 AT-OT, 2 SPHA-T), 20 Medium Fahrzeuge (9 TX-130 Saber-Tank, 6 AT-AP, 5 RX-200 Falchion), 40 Light/Support Fahrzeuge (16 AT-RT, 12 BARC Speeder, 6 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)","8, (...)",1000,Front/Oberseite,1000,"Schwerer Allrounder-Schlachtkreuzer mit solider Bewaffnung und großem Hangar. Der Praetor dient als Flaggschiff für Sektorflotten, die keinen Mandator zugeteilt bekommen."
Maelstrom-class Battlecruiser,"Schlachtkreuzer, Kuat Drive Yards, 3,100m, 45,000 Crew, 15,000 Passagiere, Klasse 3 Hyperraumantrieb, Klasse 15 Backup, 7,320 SBD, 9,000 RU, 50 MGLT","20 Battleship Ion Cannons, 10 DBY-827 Twin Heavy Turbolaser Turrets, 30 Heavy Turbolaser Batteries, 30 Heavy Ion Cannon Batteries"," 10 Point-Defense Ion Cannons, 30 Point-Defense Cannons, 10 Heavy Tractor Beam Projectors, 20 Medium Tractor Beam Projectors, 10 Quad Assault Concussion Missile ( 6 Pro Launcher ), 30 Proton Torpedo Launcher ( 8 Torpedo pro Launcher )","max. 96 Sternenjäger, 48 Transport, 15 schwere Fahrzeuge (8 AT-TE, 3 HAVw A6 Juggernaut, 3 AT-OT, 1 SPHA-T), 20 Medium Fahrzeuge (9 TX-130 Saber-Tank, 6 AT-AP, 5 RX-200 Falchion), 35 Light/Support Fahrzeuge (14 AT-RT, 10 BARC Speeder, 5 UT-AT, 4 Infantry Support Platform, 2 Freeco Speeder)","12, (...)",1250,Front/Oberseite,1250,"Pro Assault-Aufschlagsrakete 5 Damage, Nachladezeit 20 sek. Pro Protontorpedo 12 Damage, Nachladezeit 20 sek. | Spezialisierter Schiffsknacker mit 20 Battleship Ion Cannons als Kernwaffe. Der Maelstrom reißt feindliche Schilde herunter und nutzt seine massive Torpedo/Raketen-Kapazität für den Todesstoß. Die 30 Traktorstrahlen halten Ziele in der Kill-Zone ( Nur bis 1km). Nachladezeit. Pro Torpedo 8 Damage, 20 sek. Nachladezeit"
Procurator-class Star Battlecruiser,"Sternenzerstörer, Kuat Drive Yards, 2,500m, 48,400 Crew, 6,000 Passagiere, Klasse 4 Hyperraumantrieb, Klasse 10 Backup, 6,720 SBD, 2,640 RU, 40 MGLT"," 12 Dual Medium Turbolaser Turrets, 6 Dual Medium Ion Cannon Turrets","50 Medium Turbolaser Batteries, 50 Medium Ion Cannon Batteries, 40 Point Defense Cannons","max. 60 Sternenjäger, 24 Transport, 10 schwere Fahrzeuge (5 AT-TE, 2 HAVw A6 Juggernaut, 2 AT-OT, 1 SPHA-T), 10 Medium Fahrzeuge (4 TX-130 Saber-Tank, 3 AT-AP, 3 RX-200 Falchion), 20 Light/Support Fahrzeuge (8 AT-RT, 6 BARC Speeder, 3 UT-AT, 2 Infantry Support Platform, 1 Freeco Speeder)","6, (2) Kuat, (...)",500,Front/Oberseite,500,"Trotz seiner 2.500m ist der Procurator primär ein Truppentransporter/Orbitalunterstützer. Keine Heavy Weapons, keine Ordnance, keine Jäger — er gewinnt keine Linienschlachten, sondern sichert Landezonen und eskortiert Konvois. Veraltet."
